utt1	utt2	asv_before	asv_after
LA_0026	LA_E_5047880	0.202897	0.264513
LA_0019	LA_E_6584821	0.135114	0.375248
LA_0031	LA_E_8309979	0.212373	0.373141
LA_0030	LA_E_9438808	0.323816	0.313806
LA_0045	LA_E_6385327	0.166266	0.346251
LA_0045	LA_E_9848915	0.204410	0.228442
LA_0041	LA_E_1644908	0.050088	0.238263
LA_0009	LA_E_8183187	0.147870	0.372121
LA_0013	LA_E_4103863	0.304094	0.246089
LA_0043	LA_E_8388654	0.257136	0.369444
LA_0036	LA_E_9219334	0.297703	0.390834
LA_0043	LA_E_9641502	0.238351	0.326262
LA_0001	LA_E_6163703	0.332709	0.330688
LA_0036	LA_E_8151959	0.195797	0.381334
LA_0004	LA_E_6601144	0.092323	0.309333
LA_0035	LA_E_5479419	0.299174	0.266944
LA_0017	LA_E_6700890	0.278441	0.214633
LA_0028	LA_E_3233085	0.158343	0.348857
LA_0041	LA_E_4409988	0.232863	0.380952
LA_0039	LA_E_7092577	0.231706	0.217165
LA_0043	LA_E_3466694	0.333164	0.289629
LA_0039	LA_E_5667435	0.349571	0.355208
LA_0045	LA_E_9882420	0.197831	0.425167
LA_0037	LA_E_6227078	0.195376	0.337642
LA_0041	LA_E_1478219	0.174056	0.255746
LA_0002	LA_E_5054757	0.187941	0.387178
LA_0041	LA_E_1567330	0.141210	0.387244
LA_0039	LA_E_5625513	0.146257	0.431986
LA_0034	LA_E_6982823	0.277884	0.350766
LA_0048	LA_E_6589247	0.271743	0.370454
LA_0045	LA_E_5196059	0.244371	0.231243
LA_0016	LA_E_2660052	0.079033	0.320460
LA_0045	LA_E_6237116	0.315501	0.265170
LA_0043	LA_E_1180334	0.287071	0.385945
LA_0018	LA_E_6336673	0.443276	0.247979
LA_0007	LA_E_2232644	0.247236	0.409573
LA_0015	LA_E_3246561	0.104048	0.245288
LA_0016	LA_E_1121844	0.268347	0.265137
LA_0034	LA_E_6346117	0.293133	0.325512
LA_0043	LA_E_5296134	0.299355	0.353231
LA_0001	LA_E_1173407	0.198402	0.377470
LA_0042	LA_E_5903059	0.288049	0.386470
LA_0034	LA_E_2041982	0.279886	0.367774
LA_0031	LA_E_5108121	0.233048	0.233139
LA_0008	LA_E_5625513	0.242981	0.308770
LA_0035	LA_E_1373332	0.237587	0.216533
LA_0009	LA_E_4691178	0.202081	0.342824
LA_0036	LA_E_6802463	0.290031	0.336677
LA_0008	LA_E_6826899	0.177385	0.354093
LA_0037	LA_E_7955349	0.335214	0.331928
LA_0010	LA_E_4484865	0.216799	0.406597
LA_0035	LA_E_8786056	0.219143	0.355429
LA_0004	LA_E_3572990	0.295255	0.236973
LA_0001	LA_E_7010243	0.284283	0.244798
LA_0023	LA_E_6017356	0.147377	0.360850
LA_0025	LA_E_2240603	0.099553	0.371867
LA_0016	LA_E_8672894	0.265422	0.407470
LA_0018	LA_E_9318500	0.298634	0.280312
LA_0043	LA_E_3822402	0.223143	0.316305
LA_0039	LA_E_8169597	0.288001	0.277740
LA_0017	LA_E_2222270	0.249777	0.282951
LA_0039	LA_E_6873356	0.170681	0.407761
LA_0047	LA_E_2025487	0.124724	0.241983
LA_0026	LA_E_9362104	0.238659	0.235104
LA_0009	LA_E_7862687	0.135818	0.336611
LA_0017	LA_E_5318552	0.248503	0.275075
LA_0043	LA_E_9777016	0.296716	0.373513
LA_0027	LA_E_1978236	0.250134	0.249565
LA_0009	LA_E_9480739	0.206175	0.178704
LA_0031	LA_E_3551532	0.254555	0.200279
LA_0047	LA_E_3715131	0.348284	0.306947
LA_0027	LA_E_5049397	0.216772	0.393145
LA_0045	LA_E_3704118	0.303066	0.276052
LA_0017	LA_E_2456681	0.203680	0.372604
LA_0015	LA_E_9082970	0.235796	0.325065
LA_0016	LA_E_7218987	0.065566	0.259356
LA_0044	LA_E_7769419	0.250902	0.357853
LA_0043	LA_E_2267312	0.145008	0.392856
LA_0037	LA_E_9630978	0.299553	0.307425
LA_0041	LA_E_5385777	0.318298	0.279940
LA_0017	LA_E_3206572	0.167356	0.386294
LA_0033	LA_E_6152359	0.337838	0.307661
LA_0037	LA_E_7295579	0.306253	0.230454
LA_0041	LA_E_3417739	0.338590	0.354047
LA_0010	LA_E_6712126	0.215384	0.223297
LA_0022	LA_E_1613408	0.106503	0.296308
LA_0005	LA_E_5421571	0.238673	0.330703
LA_0035	LA_E_4407998	0.155630	0.227334
LA_0034	LA_E_2288596	0.166670	0.367978
LA_0027	LA_E_3425904	0.206906	0.361514
LA_0016	LA_E_1540962	0.104748	0.310866
LA_0027	LA_E_4352922	0.221214	0.405674
LA_0039	LA_E_1715585	0.160255	0.412250
LA_0018	LA_E_8563944	0.287788	0.245502
LA_0016	LA_E_8547733	0.126245	0.334315
LA_0016	LA_E_2896889	0.222101	0.323818
LA_0017	LA_E_5928848	0.358397	0.381051
LA_0022	LA_E_4376357	0.157087	0.390788
LA_0023	LA_E_8563944	0.177498	0.340446
LA_0007	LA_E_1010349	0.343833	0.330797
LA_0037	LA_E_9667786	0.353514	0.393161
LA_0009	LA_E_1819595	0.162285	0.248117
LA_0045	LA_E_6346117	0.197513	0.269332
LA_0027	LA_E_4856684	0.209247	0.232337
LA_0036	LA_E_7455353	0.291107	0.304916
LA_0031	LA_E_2714189	0.157339	0.198374
LA_0010	LA_E_4218432	0.221326	0.391122
LA_0045	LA_E_2514376	0.293326	0.353710
LA_0004	LA_E_3306877	0.181568	0.304754
LA_0045	LA_E_4352922	0.200936	0.235667
LA_0016	LA_E_2724873	0.138691	0.307491
LA_0025	LA_E_3246059	0.130668	0.269236
LA_0007	LA_E_3527138	0.253515	0.226421
LA_0037	LA_E_6873356	0.210910	0.362138
LA_0013	LA_E_6500771	0.237954	0.356846
LA_0027	LA_E_5899892	0.226605	0.211694
LA_0022	LA_E_2097092	0.198996	0.394562
LA_0021	LA_E_3775722	0.121308	0.327906
LA_0018	LA_E_5588661	0.291247	0.241482
LA_0043	LA_E_4325150	0.296386	0.417233
LA_0043	LA_E_4479083	0.299418	0.223625
LA_0007	LA_E_8601887	0.178375	0.389690
LA_0037	LA_E_5376768	0.246405	0.258232
LA_0034	LA_E_8146949	0.145106	0.360944
LA_0011	LA_E_1357326	0.352414	0.293377
LA_0026	LA_E_4352922	0.173274	0.230982
LA_0045	LA_E_5668603	0.206306	0.430244
LA_0025	LA_E_1174819	0.218350	0.407250
LA_0031	LA_E_5329393	0.268407	0.224623
LA_0023	LA_E_7721272	0.317261	0.267585
LA_0039	LA_E_7386758	0.378613	0.291486
LA_0004	LA_E_5901444	0.117513	0.239746
LA_0006	LA_E_9005251	0.334069	0.358203
LA_0009	LA_E_1046597	0.275187	0.330348
LA_0011	LA_E_2458204	0.377712	0.373798
LA_0037	LA_E_7673185	0.280013	0.262471
LA_0027	LA_E_7397434	0.293030	0.238022
LA_0045	LA_E_8792884	0.308732	0.244256
LA_0010	LA_E_1053797	0.106208	0.362178
LA_0027	LA_E_1301756	0.315354	0.259205
LA_0010	LA_E_3471461	0.222856	0.382842
LA_0045	LA_E_7434509	0.130620	0.299354
LA_0042	LA_E_7487309	0.298458	0.285326
LA_0031	LA_E_5744054	0.275798	0.399492
LA_0009	LA_E_7108280	0.314969	0.309709
LA_0019	LA_E_7620884	0.255022	0.266902
LA_0010	LA_E_8131218	0.165548	0.379003
LA_0011	LA_E_9847129	0.371395	0.298584
LA_0042	LA_E_5361943	0.176780	0.333270
LA_0035	LA_E_4712931	0.205890	0.324369
LA_0022	LA_E_4056939	0.229175	0.373847
LA_0016	LA_E_7661561	0.272476	0.414278
LA_0043	LA_E_2456681	0.281599	0.349961
LA_0037	LA_E_5667435	0.115900	0.319919
LA_0001	LA_E_3419023	0.233571	0.257194
LA_0016	LA_E_6217699	0.181321	0.271431
LA_0035	LA_E_6409898	0.246339	0.369762
LA_0041	LA_E_6723208	0.264717	0.343757
LA_0009	LA_E_3154071	0.195956	0.363415
LA_0009	LA_E_6413429	0.219266	0.341589
LA_0037	LA_E_6385327	0.206064	0.412999
LA_0042	LA_E_3190451	0.214618	0.355264
LA_0036	LA_E_6786709	0.279217	0.289781
LA_0018	LA_E_2458204	0.302377	0.232253
LA_0043	LA_E_3577705	0.288040	0.234899
LA_0016	LA_E_2172964	0.232759	0.371387
LA_0045	LA_E_7694653	0.213113	0.245480
LA_0013	LA_E_8118874	0.279942	0.278183
LA_0016	LA_E_1768192	0.301221	0.378151
LA_0032	LA_E_8590847	0.293072	0.337673
LA_0017	LA_E_1603570	0.236244	0.412049
LA_0037	LA_E_4517012	0.180108	0.420311
LA_0034	LA_E_3085516	0.193042	0.291251
LA_0039	LA_E_1499507	0.277615	0.252059
LA_0027	LA_E_4409988	0.365153	0.375231
LA_0023	LA_E_9741585	0.215480	0.228523
LA_0034	LA_E_1567330	0.182309	0.350400
LA_0018	LA_E_2854126	0.420546	0.243510
LA_0042	LA_E_6754038	0.271487	0.415317
LA_0004	LA_E_6583989	0.157505	0.277414
LA_0004	LA_E_7706675	0.133231	0.348129
LA_0019	LA_E_5231295	0.226723	0.379603
LA_0020	LA_E_7924241	0.056030	0.340449
LA_0028	LA_E_6414118	0.255986	0.402727
LA_0004	LA_E_7636373	0.136646	0.278850
LA_0045	LA_E_5258229	0.297826	0.303812
LA_0004	LA_E_4049611	0.356099	0.272939
LA_0036	LA_E_9351726	0.212452	0.232912
LA_0042	LA_E_5083001	0.194264	0.333152
LA_0036	LA_E_3497087	0.195192	0.274006
LA_0043	LA_E_5706857	0.309479	0.402073
LA_0004	LA_E_4048558	0.168242	0.338431
LA_0047	LA_E_1721212	0.219074	0.408214
LA_0041	LA_E_9053445	0.252147	0.371240
LA_0034	LA_E_9203619	0.212503	0.265848
LA_0008	LA_E_5322895	0.296792	0.240351
LA_0042	LA_E_2532139	0.328023	0.387573
LA_0028	LA_E_5593955	0.325079	0.265711
LA_0017	LA_E_1644905	0.236218	0.315958
LA_0004	LA_E_9020394	0.162524	0.379046
LA_0038	LA_E_2987280	0.263297	0.361519
LA_0017	LA_E_5810015	0.174275	0.330014
LA_0018	LA_E_5384156	0.258714	0.239091
LA_0014	LA_E_7970060	0.322778	0.299504
LA_0004	LA_E_2621295	0.041609	0.256462
LA_0041	LA_E_2544206	0.316840	0.195103
LA_0017	LA_E_6433877	0.301138	0.249585
LA_0025	LA_E_3480966	0.205095	0.386063
LA_0009	LA_E_4596132	0.170037	0.333087
LA_0009	LA_E_2748855	0.348397	0.300848
LA_0031	LA_E_5362271	0.174112	0.402635
LA_0031	LA_E_1211932	0.286159	0.230258
LA_0023	LA_E_7765886	0.248638	0.380438
LA_0019	LA_E_3673703	0.269178	0.236749
LA_0006	LA_E_4125001	0.218491	0.205192
LA_0004	LA_E_9098424	0.258868	0.370370
LA_0045	LA_E_5049397	0.130390	0.238271
LA_0045	LA_E_4903415	0.200169	0.251802
LA_0037	LA_E_1395552	0.253257	0.261843
LA_0029	LA_E_1441455	0.115408	0.384428
LA_0009	LA_E_2005096	0.198807	0.384136
LA_0008	LA_E_9395014	0.370893	0.402837
LA_0001	LA_E_5899229	0.315594	0.295249
LA_0017	LA_E_6822685	0.242733	0.343889
LA_0022	LA_E_3346353	0.356435	0.269181
LA_0023	LA_E_4694710	0.207995	0.376955
LA_0031	LA_E_7028286	0.305184	0.296609
LA_0027	LA_E_2660035	0.259981	0.407280
LA_0006	LA_E_5891428	0.239843	0.225729
LA_0027	LA_E_5047880	0.240722	0.376102
LA_0009	LA_E_7094448	0.280588	0.230761
LA_0041	LA_E_5706857	0.261107	0.328003
LA_0042	LA_E_5869890	0.177815	0.377187
LA_0045	LA_E_8004101	0.145614	0.356377
LA_0037	LA_E_1145965	0.178914	0.314827
LA_0036	LA_E_5191078	0.260778	0.260940
LA_0017	LA_E_3420406	0.192120	0.350409
LA_0026	LA_E_3541477	0.238401	0.275521
LA_0032	LA_E_3372566	0.204472	0.402628
LA_0033	LA_E_7564751	0.292571	0.279477
LA_0025	LA_E_9830496	0.202038	0.241206
LA_0041	LA_E_1935135	0.134579	0.290811
LA_0001	LA_E_9981609	0.268027	0.356351
LA_0001	LA_E_1933882	0.115459	0.328878
LA_0045	LA_E_8189451	0.223988	0.376713
LA_0036	LA_E_1971612	0.236745	0.307401
LA_0035	LA_E_5590452	0.310253	0.410462
LA_0033	LA_E_5467152	0.191407	0.385972
LA_0043	LA_E_4217025	0.280287	0.197779
LA_0019	LA_E_1518359	0.296581	0.312581
LA_0045	LA_E_3725702	0.263751	0.340113
LA_0022	LA_E_3572990	0.170986	0.378220
LA_0042	LA_E_3471187	0.336372	0.303057
LA_0044	LA_E_3754241	0.176694	0.274416
LA_0010	LA_E_6723208	0.215868	0.387889
LA_0044	LA_E_4801924	0.158930	0.316767
LA_0006	LA_E_9497025	0.213229	0.208181
LA_0014	LA_E_3885033	0.239653	0.351428
LA_0027	LA_E_3313944	0.254378	0.392725
LA_0020	LA_E_5972524	0.131899	0.369434
LA_0035	LA_E_6826899	0.290134	0.367451
LA_0039	LA_E_2467617	0.236974	0.272710
LA_0001	LA_E_7501521	0.182576	0.241457
LA_0014	LA_E_5923383	0.225402	0.278454
LA_0036	LA_E_7803346	0.207729	0.349562
LA_0023	LA_E_7459392	0.124923	0.278439
LA_0014	LA_E_6259763	0.350572	0.393259
LA_0026	LA_E_4148892	0.189877	0.231528
LA_0038	LA_E_9274211	0.373597	0.353610
LA_0013	LA_E_4943305	0.308499	0.411703
LA_0026	LA_E_1439904	0.234039	0.237845
LA_0041	LA_E_8789512	0.244705	0.261059
LA_0037	LA_E_7055986	0.262651	0.386481
LA_0011	LA_E_5160672	0.333269	0.336693
LA_0045	LA_E_6910266	0.219462	0.366356
LA_0048	LA_E_7902329	0.286888	0.416152
LA_0034	LA_E_4845413	0.196126	0.239429
LA_0025	LA_E_5358511	0.135896	0.331581
LA_0014	LA_E_1841613	0.239815	0.345200
LA_0021	LA_E_2987280	0.310134	0.237474
LA_0007	LA_E_3457350	0.229636	0.398737
LA_0039	LA_E_1304770	0.169068	0.431730
LA_0039	LA_E_3344290	0.337932	0.359917
LA_0031	LA_E_8378735	0.221197	0.267423
LA_0020	LA_E_4188335	0.134702	0.321906
LA_0043	LA_E_1352427	0.301198	0.227917
LA_0019	LA_E_3313393	0.171849	0.286799
LA_0043	LA_E_1768450	0.323470	0.298048
LA_0004	LA_E_4217025	0.138442	0.354182
LA_0001	LA_E_8962526	0.281788	0.266081
LA_0001	LA_E_4506237	0.261254	0.380222
LA_0037	LA_E_5821881	0.265595	0.233344
LA_0027	LA_E_3931632	0.127849	0.292593
LA_0027	LA_E_8959603	0.186247	0.296032
LA_0018	LA_E_9196975	0.293838	0.270337
LA_0028	LA_E_6255286	0.265005	0.328839
LA_0026	LA_E_2621295	0.259543	0.259214
LA_0034	LA_E_7028286	0.239707	0.360729
LA_0047	LA_E_2486913	0.006864	0.376323
LA_0023	LA_E_7180994	0.266594	0.376648
LA_0021	LA_E_4103863	0.323311	0.355964
