utt1	utt2	asv_before	asv_after
LA_0026	LA_E_5047880	0.202897	0.261652
LA_0019	LA_E_6584821	0.135114	0.380137
LA_0031	LA_E_8309979	0.212373	0.367281
LA_0030	LA_E_9438808	0.323816	0.319288
LA_0045	LA_E_6385327	0.166266	0.346821
LA_0045	LA_E_9848915	0.204410	0.233489
LA_0041	LA_E_1644908	0.050088	0.352537
LA_0009	LA_E_8183187	0.147870	0.337888
LA_0013	LA_E_4103863	0.304094	0.372922
LA_0043	LA_E_8388654	0.257136	0.361628
LA_0036	LA_E_9219334	0.297703	0.393193
LA_0043	LA_E_9641502	0.238351	0.362813
LA_0001	LA_E_6163703	0.332709	0.333848
LA_0036	LA_E_8151959	0.195797	0.374618
LA_0004	LA_E_6601144	0.092323	0.314602
LA_0035	LA_E_5479419	0.299174	0.284677
LA_0017	LA_E_6700890	0.278441	0.403803
LA_0028	LA_E_3233085	0.158343	0.312176
LA_0041	LA_E_4409988	0.232863	0.316079
LA_0039	LA_E_7092577	0.231706	0.202036
LA_0043	LA_E_3466694	0.333164	0.326989
LA_0039	LA_E_5667435	0.349571	0.372983
LA_0045	LA_E_9882420	0.197831	0.409291
LA_0037	LA_E_6227078	0.195376	0.314647
LA_0041	LA_E_1478219	0.174056	0.273987
LA_0002	LA_E_5054757	0.187941	0.375167
LA_0041	LA_E_1567330	0.141210	0.376632
LA_0039	LA_E_5625513	0.146257	0.436692
LA_0034	LA_E_6982823	0.277884	0.325901
LA_0048	LA_E_6589247	0.271743	0.375295
LA_0045	LA_E_5196059	0.244371	0.218739
LA_0016	LA_E_2660052	0.079033	0.265375
LA_0045	LA_E_6237116	0.315501	0.218777
LA_0043	LA_E_1180334	0.287071	0.382560
LA_0018	LA_E_6336673	0.443276	0.277206
LA_0007	LA_E_2232644	0.247236	0.190563
LA_0015	LA_E_3246561	0.104048	0.270488
LA_0016	LA_E_1121844	0.268347	0.266086
LA_0034	LA_E_6346117	0.293133	0.317189
LA_0043	LA_E_5296134	0.299355	0.349711
LA_0001	LA_E_1173407	0.198402	0.387173
LA_0042	LA_E_5903059	0.288049	0.392696
LA_0034	LA_E_2041982	0.279886	0.377756
LA_0031	LA_E_5108121	0.233048	0.221785
LA_0008	LA_E_5625513	0.242981	0.307649
LA_0035	LA_E_1373332	0.237587	0.338183
LA_0009	LA_E_4691178	0.202081	0.371482
LA_0036	LA_E_6802463	0.290031	0.283488
LA_0008	LA_E_6826899	0.177385	0.382201
LA_0037	LA_E_7955349	0.335214	0.286803
LA_0010	LA_E_4484865	0.216799	0.417845
LA_0035	LA_E_8786056	0.219143	0.356244
LA_0004	LA_E_3572990	0.295255	0.219249
LA_0001	LA_E_7010243	0.284283	0.222272
LA_0023	LA_E_6017356	0.147377	0.359150
LA_0025	LA_E_2240603	0.099553	0.392742
LA_0016	LA_E_8672894	0.265422	0.246685
LA_0018	LA_E_9318500	0.298634	0.272622
LA_0043	LA_E_3822402	0.223143	0.318101
LA_0039	LA_E_8169597	0.288001	0.253195
LA_0017	LA_E_2222270	0.249777	0.403305
LA_0039	LA_E_6873356	0.170681	0.429309
LA_0047	LA_E_2025487	0.124724	0.245700
LA_0026	LA_E_9362104	0.238659	0.272533
LA_0009	LA_E_7862687	0.135818	0.341064
LA_0017	LA_E_5318552	0.248503	0.269192
LA_0043	LA_E_9777016	0.296716	0.348353
LA_0027	LA_E_1978236	0.250134	0.224984
LA_0009	LA_E_9480739	0.206175	0.405335
LA_0031	LA_E_3551532	0.254555	0.197053
LA_0047	LA_E_3715131	0.348284	0.330864
LA_0027	LA_E_5049397	0.216772	0.404616
LA_0045	LA_E_3704118	0.303066	0.263611
LA_0017	LA_E_2456681	0.203680	0.365421
LA_0015	LA_E_9082970	0.235796	0.350288
LA_0016	LA_E_7218987	0.065566	0.255783
LA_0044	LA_E_7769419	0.250902	0.350053
LA_0043	LA_E_2267312	0.145008	0.340401
LA_0037	LA_E_9630978	0.299553	0.303527
LA_0041	LA_E_5385777	0.318298	0.261512
LA_0017	LA_E_3206572	0.167356	0.337988
LA_0033	LA_E_6152359	0.337838	0.293889
LA_0037	LA_E_7295579	0.306253	0.208549
LA_0041	LA_E_3417739	0.338590	0.343277
LA_0010	LA_E_6712126	0.215384	0.193326
LA_0022	LA_E_1613408	0.106503	0.361724
LA_0005	LA_E_5421571	0.238673	0.325801
LA_0035	LA_E_4407998	0.155630	0.378082
LA_0034	LA_E_2288596	0.166670	0.375871
LA_0027	LA_E_3425904	0.206906	0.351404
LA_0016	LA_E_1540962	0.104748	0.262446
LA_0027	LA_E_4352922	0.221214	0.397644
LA_0039	LA_E_1715585	0.160255	0.421992
LA_0018	LA_E_8563944	0.287788	0.274312
LA_0016	LA_E_8547733	0.126245	0.321494
LA_0016	LA_E_2896889	0.222101	0.338153
LA_0017	LA_E_5928848	0.358397	0.376622
LA_0022	LA_E_4376357	0.157087	0.318941
LA_0023	LA_E_8563944	0.177498	0.334495
LA_0007	LA_E_1010349	0.343833	0.318371
LA_0037	LA_E_9667786	0.353514	0.353288
LA_0009	LA_E_1819595	0.162285	0.266565
LA_0045	LA_E_6346117	0.197513	0.254300
LA_0027	LA_E_4856684	0.209247	0.259438
LA_0036	LA_E_7455353	0.291107	0.294987
LA_0031	LA_E_2714189	0.157339	0.206422
LA_0010	LA_E_4218432	0.221326	0.372319
LA_0045	LA_E_2514376	0.293326	0.323155
LA_0004	LA_E_3306877	0.181568	0.320622
LA_0045	LA_E_4352922	0.200936	0.213661
LA_0016	LA_E_2724873	0.138691	0.324580
LA_0025	LA_E_3246059	0.130668	0.281350
LA_0007	LA_E_3527138	0.253515	0.403030
LA_0037	LA_E_6873356	0.210910	0.343561
LA_0013	LA_E_6500771	0.237954	0.343468
LA_0027	LA_E_5899892	0.226605	0.209235
LA_0022	LA_E_2097092	0.198996	0.412404
LA_0021	LA_E_3775722	0.121308	0.301650
LA_0018	LA_E_5588661	0.291247	0.388409
LA_0043	LA_E_4325150	0.296386	0.359351
LA_0043	LA_E_4479083	0.299418	0.382675
LA_0007	LA_E_8601887	0.178375	0.409062
LA_0037	LA_E_5376768	0.246405	0.240838
LA_0034	LA_E_8146949	0.145106	0.335355
LA_0011	LA_E_1357326	0.352414	0.301634
LA_0026	LA_E_4352922	0.173274	0.233014
LA_0045	LA_E_5668603	0.206306	0.388950
LA_0025	LA_E_1174819	0.218350	0.417700
LA_0031	LA_E_5329393	0.268407	0.425211
LA_0023	LA_E_7721272	0.317261	0.250253
LA_0039	LA_E_7386758	0.378613	0.294076
LA_0004	LA_E_5901444	0.117513	0.252850
LA_0006	LA_E_9005251	0.334069	0.229267
LA_0009	LA_E_1046597	0.275187	0.289471
LA_0011	LA_E_2458204	0.377712	0.389121
