utt_id,enroll_id,cosine_score
LA_E_1008476,LA_0001,0.596128
LA_E_1010349,LA_0007,0.642963
LA_E_1010349,LA_0011,0.700409
LA_E_1010349,LA_0036,0.616662
LA_E_1024417,LA_0008,0.780778
LA_E_1024417,LA_0016,0.719825
LA_E_1024417,LA_0034,0.540026
LA_E_1024417,LA_0035,0.630072
LA_E_1024417,LA_0039,0.827646
LA_E_1024417,LA_0045,0.718338
LA_E_1033230,LA_0004,0.469146
LA_E_1046597,LA_0009,0.723404
LA_E_1046597,LA_0034,0.396640
LA_E_1053797,LA_0010,0.602096
LA_E_1053797,LA_0035,0.562576
LA_E_1053797,LA_0041,0.556699
LA_E_1066571,LA_0032,0.721102
LA_E_1066879,LA_0030,0.622158
LA_E_1071484,LA_0003,0.372904
LA_E_1071484,LA_0005,0.676941
LA_E_1071484,LA_0007,0.716056
LA_E_1071484,LA_0013,0.658052
LA_E_1071484,LA_0015,0.716635
LA_E_1071484,LA_0025,0.665672
LA_E_1073410,LA_0004,0.545923
LA_E_1073410,LA_0016,0.513746
LA_E_1073410,LA_0020,0.485731
LA_E_1073482,LA_0016,0.647290
LA_E_1073482,LA_0035,0.416238
LA_E_1077496,LA_0014,0.451753
LA_E_1077496,LA_0035,0.651453
LA_E_1083805,LA_0007,0.577002
LA_E_1087821,LA_0031,0.685765
LA_E_1091007,LA_0028,0.473164
LA_E_1109484,LA_0036,0.695965
LA_E_1109756,LA_0011,0.768161
LA_E_1109756,LA_0018,0.640562
LA_E_1111393,LA_0005,0.672368
LA_E_1114347,LA_0001,0.699823
LA_E_1114347,LA_0011,0.759084
LA_E_1118752,LA_0016,0.555898
LA_E_1118752,LA_0037,0.575902
LA_E_1118791,LA_0028,0.498719
LA_E_1121844,LA_0016,0.640502
LA_E_1121844,LA_0022,0.644155
LA_E_1121844,LA_0031,0.741393
LA_E_1121844,LA_0045,0.545382
LA_E_1126163,LA_0024,0.493195
LA_E_1126163,LA_0029,0.740688
LA_E_1126163,LA_0037,0.645288
LA_E_1126163,LA_0041,0.548313
LA_E_1126163,LA_0047,0.645983
LA_E_1139127,LA_0019,0.761833
LA_E_1144268,LA_0011,0.757126
LA_E_1145965,LA_0037,0.570127
LA_E_1159860,LA_0004,0.278199
LA_E_1164883,LA_0001,0.673924
LA_E_1165591,LA_0014,0.610683
LA_E_1165591,LA_0016,0.749636
LA_E_1165591,LA_0022,0.671284
LA_E_1165591,LA_0034,0.607371
LA_E_1165591,LA_0035,0.696443
LA_E_1165591,LA_0043,0.722728
LA_E_1173407,LA_0001,0.680685
LA_E_1174819,LA_0001,0.617456
LA_E_1174819,LA_0025,0.653438
LA_E_1174819,LA_0030,0.629008
LA_E_1174819,LA_0048,0.757855
LA_E_1180334,LA_0017,0.799458
LA_E_1180334,LA_0031,0.789610
LA_E_1180334,LA_0035,0.771205
LA_E_1180334,LA_0043,0.730286
LA_E_1190027,LA_0004,0.607590
LA_E_1190027,LA_0017,0.736856
LA_E_1190027,LA_0029,0.751941
LA_E_1190027,LA_0041,0.613239
LA_E_1190027,LA_0045,0.730863
LA_E_1191163,LA_0034,0.440650
LA_E_1191163,LA_0045,0.548694
LA_E_1194237,LA_0011,0.748022
LA_E_1194478,LA_0039,0.723825
LA_E_1194478,LA_0045,0.714005
LA_E_1200064,LA_0004,0.606034
LA_E_1200064,LA_0041,0.547570
LA_E_1202004,LA_0021,0.512367
LA_E_1202552,LA_0035,0.561750
LA_E_1202552,LA_0043,0.620284
LA_E_1211932,LA_0009,0.739476
LA_E_1211932,LA_0016,0.638873
LA_E_1211932,LA_0031,0.798081
LA_E_1211932,LA_0045,0.606214
LA_E_1216150,LA_0037,0.614364
LA_E_1232728,LA_0036,0.582264
LA_E_1235824,LA_0007,0.702250
LA_E_1241701,LA_0009,0.672604
LA_E_1241701,LA_0027,0.581144
LA_E_1241701,LA_0031,0.687157
LA_E_1241701,LA_0039,0.664439
LA_E_1242285,LA_0028,0.654922
LA_E_1242285,LA_0048,0.622110
LA_E_1243550,LA_0018,0.602895
LA_E_1243550,LA_0030,0.555787
LA_E_1243550,LA_0038,0.643353
LA_E_1253524,LA_0025,0.533378
LA_E_1253524,LA_0028,0.552986
LA_E_1253524,LA_0044,0.630413
LA_E_1258871,LA_0009,0.710543
LA_E_1258871,LA_0017,0.690659
LA_E_1258871,LA_0031,0.633793
LA_E_1258871,LA_0035,0.454228
LA_E_1258871,LA_0037,0.624518
LA_E_1258871,LA_0041,0.495229
LA_E_1260738,LA_0022,0.743320
LA_E_1265304,LA_0044,0.580609
LA_E_1277254,LA_0016,0.638640
LA_E_1277254,LA_0020,0.550304
LA_E_1293981,LA_0006,0.802187
LA_E_1293981,LA_0027,0.704586
LA_E_1293981,LA_0037,0.618462
LA_E_1293981,LA_0039,0.731470
LA_E_1299075,LA_0008,0.759986
LA_E_1299075,LA_0016,0.714607
LA_E_1299075,LA_0039,0.826919
LA_E_1301756,LA_0010,0.700330
LA_E_1301756,LA_0027,0.697785
LA_E_1301756,LA_0034,0.692540
LA_E_1301756,LA_0039,0.775068
LA_E_1301756,LA_0041,0.622891
LA_E_1301756,LA_0042,0.678048
LA_E_1304770,LA_0012,0.773761
LA_E_1304770,LA_0017,0.770999
LA_E_1304770,LA_0039,0.744171
LA_E_1304770,LA_0041,0.634126
LA_E_1304770,LA_0043,0.551797
LA_E_1310240,LA_0014,0.429505
LA_E_1310240,LA_0045,0.651774
LA_E_1311509,LA_0010,0.612759
LA_E_1311509,LA_0034,0.489045
LA_E_1311509,LA_0047,0.744583
LA_E_1311831,LA_0008,0.711936
LA_E_1311831,LA_0016,0.697321
LA_E_1311831,LA_0019,0.772551
LA_E_1311831,LA_0043,0.706270
