utt1	utt2	asv_before	asv_after
LA_0026	LA_E_5047880	0.202897	0.251252
LA_0019	LA_E_6584821	0.135114	0.360871
LA_0031	LA_E_8309979	0.212373	0.392812
LA_0030	LA_E_9438808	0.323816	0.313457
LA_0045	LA_E_6385327	0.166266	0.396242
LA_0045	LA_E_9848915	0.204410	0.392554
LA_0041	LA_E_1644908	0.050088	0.232265
LA_0009	LA_E_8183187	0.147870	0.363777
LA_0013	LA_E_4103863	0.304094	0.299724
LA_0043	LA_E_8388654	0.257136	0.366469
LA_0036	LA_E_9219334	0.297703	0.232574
LA_0043	LA_E_9641502	0.238351	0.358705
LA_0001	LA_E_6163703	0.332709	0.329600
LA_0036	LA_E_8151959	0.195797	0.361175
LA_0004	LA_E_6601144	0.092323	0.330404
LA_0035	LA_E_5479419	0.299174	0.286506
LA_0017	LA_E_6700890	0.278441	0.271585
LA_0028	LA_E_3233085	0.158343	0.363070
LA_0041	LA_E_4409988	0.232863	0.394974
LA_0039	LA_E_7092577	0.231706	0.226905
LA_0043	LA_E_3466694	0.333164	0.304131
LA_0039	LA_E_5667435	0.349571	0.376817
LA_0045	LA_E_9882420	0.197831	0.386334
LA_0037	LA_E_6227078	0.195376	0.319555
LA_0041	LA_E_1478219	0.174056	0.272792
LA_0002	LA_E_5054757	0.187941	0.366627
LA_0041	LA_E_1567330	0.141210	0.392324
LA_0039	LA_E_5625513	0.146257	0.415762
LA_0034	LA_E_6982823	0.277884	0.360146
LA_0048	LA_E_6589247	0.271743	0.374651
LA_0045	LA_E_5196059	0.244371	0.418425
LA_0016	LA_E_2660052	0.079033	0.354469
LA_0045	LA_E_6237116	0.315501	0.280408
LA_0043	LA_E_1180334	0.287071	0.231346
LA_0018	LA_E_6336673	0.443276	0.293124
LA_0007	LA_E_2232644	0.247236	0.391036
LA_0015	LA_E_3246561	0.104048	0.221291
LA_0016	LA_E_1121844	0.268347	0.268982
LA_0034	LA_E_6346117	0.293133	0.356570
LA_0043	LA_E_5296134	0.299355	0.342988
LA_0001	LA_E_1173407	0.198402	0.374118
LA_0042	LA_E_5903059	0.288049	0.381775
LA_0034	LA_E_2041982	0.279886	0.361558
LA_0031	LA_E_5108121	0.233048	0.253516
LA_0008	LA_E_5625513	0.242981	0.277479
LA_0035	LA_E_1373332	0.237587	0.365492
LA_0009	LA_E_4691178	0.202081	0.360964
LA_0036	LA_E_6802463	0.290031	0.347183
LA_0008	LA_E_6826899	0.177385	0.355660
