utt1	utt2	trial_type	score
LA_0015	LA_E_1103494	target	0.701481
LA_0015	LA_E_4861467	target	0.682932
LA_0015	LA_E_6229989	target	0.675569
LA_0015	LA_E_4483232	target	0.762410
LA_0015	LA_E_3110493	target	0.570671
LA_0015	LA_E_7223821	target	0.645016
LA_0015	LA_E_3132121	target	0.753770
LA_0015	LA_E_5821904	target	0.741830
LA_0015	LA_E_2301244	target	0.764863
LA_0015	LA_E_8147880	target	0.736225
LA_0015	LA_E_2043577	target	0.820484
LA_0015	LA_E_6676811	target	0.623399
LA_0015	LA_E_5989625	target	0.837432
LA_0015	LA_E_8057592	target	0.709361
LA_0015	LA_E_8549176	target	0.791128
LA_0015	LA_E_1574894	target	0.610697
LA_0015	LA_E_3427837	target	0.597765
LA_0015	LA_E_7225142	target	0.573719
LA_0015	LA_E_8624596	target	0.647019
LA_0015	LA_E_2741846	target	0.750805
LA_0015	LA_E_5069209	target	0.676366
LA_0015	LA_E_7709231	target	0.747249
LA_0015	LA_E_2912526	target	0.442436
LA_0015	LA_E_7346511	target	0.466886
LA_0015	LA_E_2294600	target	0.594932
LA_0015	LA_E_4946788	target	0.730614
LA_0015	LA_E_2884221	target	0.740228
LA_0015	LA_E_1761897	target	0.509229
LA_0015	LA_E_8448256	target	0.720703
LA_0015	LA_E_7618772	target	0.820263
LA_0015	LA_E_1894268	target	0.701007
LA_0015	LA_E_3283593	target	0.781301
LA_0015	LA_E_3041366	target	0.712214
LA_0015	LA_E_3182162	target	0.846281
LA_0015	LA_E_7197278	target	0.832480
LA_0015	LA_E_8353705	target	0.826127
LA_0015	LA_E_2946031	target	0.781593
LA_0015	LA_E_4622624	target	0.668568
LA_0015	LA_E_2781269	target	0.589380
LA_0015	LA_E_2712148	target	0.758399
LA_0015	LA_E_6741240	target	0.742803
LA_0015	LA_E_6937172	target	0.627969
LA_0015	LA_E_1767925	target	0.736395
LA_0015	LA_E_5626172	target	0.662006
LA_0015	LA_E_5925697	target	0.699223
LA_0015	LA_E_9952644	target	0.716049
LA_0015	LA_E_3534522	target	0.631377
LA_0015	LA_E_8027535	target	0.515730
LA_0015	LA_E_9159436	target	0.721619
LA_0015	LA_E_1140411	target	0.813200
LA_0015	LA_E_2921630	target	0.644082
LA_0015	LA_E_9866308	target	0.617519
LA_0015	LA_E_9070898	target	0.700692
